CODE,ZONE,ATOLL,ISLAND,SCHOOL NAME - CODE
9.12,Central,AA,Mathiveri,Husna Pre-School
9.2,Central,AA,Rasdhoo,Rasdhoo Pre-School
10.15,Central,ADH,Dhigurah,Dhigurashu Pre-School
10.13,Central,ADH,Fenfushi,Fenfushee Pre-School
10.16,Central,ADH,Kunburudhoo,Kunburudhoo Pre-School
10.18,Central,ADH,Maamingili,Maamigili Pre-School
10.14,Central,ADH,Omadhoo,Omadhoo Pre-School
11.09,Central,V,Fulidhoo,Fulidhoo kinder Garten Pre-School
12.15,South Central,M,Dhiggaru,Rehendhi Pre-School
12.14,South Central,M,Kolhufushi,Kolhufushee Pre-School
12.13,South Central,M,Mulaku,Ahlee Pre-School
12.12,South Central,M,Muli,Kan'baa Pre-School
13.13,South Central,F,Bilehdhoo,Biledhdhoo Pre-School
13.1,South Central,F,Feeali,Feeali Pre-School
13.07,South Central,F,Magoodhoo-1,Magoodhoo Pre-School
13.14,South Central,F,Nilandhoo-1,Little Star Pre-School
14.12,South Central,DH,Bandidhoo,Bandidhoo Pre-School
14.14,South Central,DH,Hulhudheli,Hulhudheli Pre-School
14.09,South Central,DH,Kudahuvadhoo,Kudahuvadhoo Pre-School
14.1,South Central,DH,Meedhoo-1,Dh. Meedhoo Pre-School
15.26,South Central,TH,Burunee,Burunee Pre-School
15.14,South Central,TH,Guraidhoo-1,Guraidhoo Pre-School
15.21,South Central,TH,Hirilandhoo,Hirilandhoo Anhenunge Pre-School
15.17,South Central,TH,Kinbidhoo,Kin'bidhoo Pre-School
15.23,South Central,TH,Madifushi,Madifushi Pre-School
15.2,South Central,TH,Thimarafushi,Thimarafushi Pre-School
16.35,South Central,L,Dhanbidhoo,Dhanbidhoo Pre-School
16.36,South Central,L,Fonadhoo,Arafa Pre-School
16.3,South Central,L,Gan,Lam Pre-Education
20.17,South Central,sn,Hithadhoo,Medhuvalu School
20.33,South Central,sn,Hithadhoo,Everyone's International School
16.37,South Central,L,Maavah,Gam Kids Pre-School
17.26,Southern,GA,Dhaandhoo,Dhaandhoo Pre-School
17.23,Southern,GA,Dhevvadhoo,Star Kids
17.25,Southern,GA,Gemanafushi,Zamaanee Pre-School
17.21,Southern,GA,Kolamafushi,Kolama Pre-School
17.12,Southern,GA,Vilingili,Theory Pre-School
17.29,Southern,GA,Vilingili,Iqra Villingili Pre-School
18.12,Southern,GDH,Thinadhoo,Raula Mianz International Pre-School
18.13,Southern,GDH,Thinadhoo,Kangaroo Kids M.M. International Pre-School
18.2,Southern,GDH,Thinadhoo,Uloomiyya Pre-School
18.44,Southern,GDH,Thinadhoo,Tibyan Preschool
20.24,Southern,Sn,Maradhoo,Nasriyya Pre-School
20.25,Southern,Sn,Maradhoo,Kudhimaa Pre-School
20.27,Southern,Sn,Maradhoo,Ujaalaa Pre-School
20.28,Southern,Sn,Maradhoo,Amaan Pre-School
20.15,Southern,Sn,Meedhoo-2,Asriyya Pre-School
20.23,Southern,Sn,Meedhoo-2,Shareefee Pre-School
20.33,South Central,sn,Hithadhoo,Everyone's International School
PS16,Male,Male city,Hulhumalé,Little Gems
PS03,Male,Male city,Malé,Ameer Ahmed School
PS05,Male,Male city,Malé,Chimes pre-School
PS06,Male,Male city,Malé,Dhondhooni Little Learners Preschool (Bageecha Campus)
PS08,Male,Male city,Malé,Excel International School
PS09,Male,Male city,Malé,Kangaroo Kids Dream Campus
PS10,Male,Male city,Malé,Kinder Preschool
PS12,Male,Male city,Malé,Kokkomen Preschool
PS13,Male,Male city,Malé,Falaah Pre School
PS14,Male,Male city,Malé,Shine Learners Pre School
PS17,Male,Male city,Malé,Burooj Preschool
CS01,Male,Male city,Malé,Galolhu School
CS02,Male,Male city,Malé,Maafannu Madharusa
PS01GN,Southern,Gn,Fuvammulah,Zikura School
PS02GN,Southern,Gn,Fuvammulah,Ideal School
PS03GN,Southern,Gn,Fuvammulah,Kangaroo kids Fuvahmulah International
PS04GN,Southern,Gn,Fuvammulah,Brightway fuvahmulah International School
20.32,Southern,Sn,Hithadhoo,Kangaroo kids Husaniya Pre-Primary International School
20.34,Southern,Sn,Hithadhoo,MIANZ INTERNATIONAL SCHOOL
20.31,South Central,Sn,Hithadhoo,Hira School
PS01,Male,Male city,Hulhumalé,Brightway International School
21.53,Male,Male city,Malé,Finland International School
GIS,Male,Male city,Malé,Ghiyasuddin International School
PS02,Male,Male city,Malé,Billabong High  International School
VIHS,Male,Male city,Malé,Villa International High School
AHIS,Male,Male city,Malé,Ahmadhiyya International School
21.56,Male,Male city,Hulhumale',Shine Learners Pre School ( Al Hassan Campus 2)
21.57,Male,Male city,Hulhumale',Shine Learners Pre School ( Al Hassan Campus 1)
21.55,Male,Male city,Hulhumale',Thibiyaan Pre-school Hulhumale
